日期,契約名稱,身份別,多方交易口數,多方契約金額,空方交易口數,空方契約金額,多空淨額交易口數,多空淨額契約金額,多方未平倉口數,多方未平倉契約金額,空方未平倉口數,空方未平倉契約金額,多空淨額未平倉口數,多空淨額未平倉契約金額
2023/01/13,MTX,自營商,20814,15460920,21212,15761943,-398,-301022,9870,7293067,2680,1985159,7190,5307908
2023/01/13,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/01/13,NQF,自營商,14,8054,26,14974,-12,-6919,0,0,664,381136,-664,-381136
2023/01/13,NQF,外資,2162,1242286,2140,1227952,22,14334,98,56896,1429,820410,-1331,-763514
2023/01/16,TX,自營商,14038,41903455,13718,40936789,320,966666,14765,44070668,7852,23430097,6913,20640571
2023/01/16,TE,投信,64,177233,65,180433,-1,-3200,145,402104,0,0,145,402104
2023/01/16,TX,投信,17243,51519134,16926,50549027,317,970107,10765,32126450,17769,53035693,-7004,-20909243
2023/01/16,TX,外資,67912,202619053,70187,209439104,-2275,-6820052,35414,105727443,25998,77621832,9416,28105611
2023/01/16,TE,外資,757,2098601,881,2442778,-124,-344177,1401,3888856,307,852002,1094,3036854
2023/01/16,TE,自營商,490,1357341,349,967441,141,389900,368,1019706,254,704682,114,315024
2023/01/16,MTX,投信,40,29845,47,35092,-7,-5247,89,66420,12,8948,77,57472
2023/01/16,MTX,自營商,12694,9454706,12005,8945038,689,509667,9333,6949257,1678,1251835,7655,5697422
2023/01/16,MTX,外資,84756,63178647,82729,61675278,2027,1503369,14639,10931988,6214,4638668,8425,6293320
2023/01/16,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/01/16,NQF,自營商,9,5185,32,18545,-23,-13360,0,0,687,399284,-687,-399284
2023/01/17,TX,投信,9800,29267152,10467,31245093,-667,-1977941,9958,29694915,17629,52570593,-7671,-22875678
2023/01/17,TX,自營商,10398,31036010,10510,31381422,-112,-345412,14748,43985007,7881,23505654,6867,20479353
2023/01/16,NQF,外資,1245,716960,1000,575293,245,141666,111,65206,1197,695923,-1086,-630717
2023/01/17,TX,外資,63562,189786005,63632,189990221,-70,-204216,36144,107805988,26797,79924080,9347,27881908
2023/01/17,TE,自營商,359,993540,398,1100302,-39,-106762,292,807615,245,677741,47,129874
2023/01/17,TE,投信,74,204414,74,204724,0,-310,145,400999,0,0,145,400999
2023/01/17,TE,外資,1366,3777065,1430,3957193,-64,-180128,1361,3765428,331,916018,1030,2849410
2023/01/17,MTX,自營商,8307,6196405,9744,7267331,-1437,-1070926,9334,6948598,3380,2519298,5954,4429300
2023/01/17,MTX,外資,52628,39288791,52998,39560064,-370,-271273,14046,10479202,5995,4471829,8051,6007373
